gene_name	transcript_id	p_start	p_end	domain_name	uniprot_id
BRCA1	ENST00000461574	77	162	disordered	H0Y850
BRCA1	ENST00000461574	182	242	disordered	H0Y850
CDKN2A	ENST00000479692	1	79	ANK_REP_REGION	K7ENC6
CDKN2A	ENST00000497750	1	79	ANK_REP_REGION	K7ES20
CDKN2A	ENST00000304494	11	40	ANK 1	P42771-1
CDKN2A	ENST00000304494	44	72	ANK 2	P42771-1
CDKN2A	ENST00000304494	77	106	ANK 3	P42771-1
CDKN2A	ENST00000304494	110	139	ANK 4	P42771-1
CDKN2A	ENST00000498124	11	40	ANK 1	P42771-4
CDKN2A	ENST00000498124	44	72	ANK 2	P42771-4
CDKN2A	ENST00000498124	77	106	ANK 3	P42771-4
CDKN2A	ENST00000498124	110	139	ANK 4	P42771-4
CDKN2A	ENST00000578845	11	40	ANK 1	P42771-2
CDKN2A	ENST00000578845	44	72	ANK 2	P42771-2
CDKN2A	ENST00000578845	77	106	ANK 3	P42771-2
CDKN2A	ENST00000578845	110	139	ANK 4	P42771-2
DCAF12L1	ENST00000371126	87	137	WD 1	Q5VU92
DCAF12L1	ENST00000371126	138	184	WD 2	Q5VU92
DCAF12L1	ENST00000371126	185	252	WD 3	Q5VU92
DCAF12L1	ENST00000371126	253	297	WD 4	Q5VU92
DCAF12L1	ENST00000371126	298	341	WD 5	Q5VU92
DCAF12L1	ENST00000371126	342	376	WD 6	Q5VU92
M1AP	ENST00000290536	1	530	M1AP	Q8TC57-1
M1AP	ENST00000536235	1	530	M1AP	Q8TC57-4
M1AP	ENST00000409585	1	530	M1AP	Q8TC57-4
MEI1	ENST00000401548	1	1274	MEI1	Q5TIA1
MEI1	ENST00000423900	1	46	disordered	H0Y787
MSH5	ENST00000425703	1	44	disordered	Q5SSR2
PRY	ENST00000303728	1	147	PRY	O14603-1
PTCH1	ENST00000551630	1	92	PTCH1	F8VQS6
STAG3	ENST00000412190	15	184	disordered	H7C0H6
STAG3	ENST00000416412	1	97	disordered	C9JTG4
STAG3	ENST00000422690	1	112	disordered	C9JYW5
SYCP2	ENST00000412613	1	208	SYCP2	A2A340
