chr	start	stop	transcript_id	gene_name	gene_id	pfam_exons	pfam_id	info	transcript_num	total_exons	exon_size	avg_exon_size	total_nucleotides	proportion_total	total_transcript_num	transcript_proportion
1	243843125	243843170	ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243843125-243843170 - o	1	13	46	110.54	1437	0.867947548667275	1	1
1	243695591	243695716	ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243695591-243695716 - o	1	13	126	110.54	1437	0.867947548667275	1	1
1	243664772	243664883	ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243664772-243664883 - o	1	13	112	110.54	1437	0.867947548667275	1	1
1	243645893	243646037	ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243645893-243646037 - o	1	13	145	110.54	1437	0.867947548667275	1	1
1	243637611	243637742	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243637611-243637742 - o	1	13	132	110.54	1437	0.867947548667275	1	1
1	243615096	243615161	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243615096-243615161 - o	1	13	66	110.54	1437	0.867947548667275	1	1
1	243613671	243613739	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243613671-243613739 - o	1	13	69	110.54	1437	0.867947548667275	1	1
1	243572926	243573048	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243572926-243573048 - o	1	13	123	110.54	1437	0.867947548667275	1	1
1	243563720	243563848	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243563720-243563848 - o	1	13	129	110.54	1437	0.867947548667275	1	1
1	243552729	243552943	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243552729-243552943 - o	1	13	215	110.54	1437	0.867947548667275	1	1
1	243545510	243545597	ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243545510-243545597 - o	1	13	88	110.54	1437	0.867947548667275	1	1
1	243512324	243512426	ENST00000263826	AKT3	ENSG00000117020	1	PF00433	1:243512324-243512426 - o	1	13	103	110.54	1437	0.867947548667275	1	1
1	243505252	243505334	ENST00000263826	AKT3	ENSG00000117020	1	PF00433	1:243505252-243505334 - o	1	13	83	110.54	1437	0.867947548667275	1	1
5	112754891	112755025	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF16689	5:112754891-112755025 - o | 5:112754891-112755025 - o	2	15	135	568.6	8529	5.15151332121307	2	1
5	112766326	112766410	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF16689	5:112766326-112766410 - o | 5:112766326-112766410 - o	2	15	85	568.6	8529	5.15151332121307	2	1
5	112767189	112767390	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112767189-112767390 - o | 5:112767189-112767390 - o	2	15	202	568.6	8529	5.15151332121307	2	1
5	112775629	112775737	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112775629-112775737 - o | 5:112775629-112775737 - o	2	15	109	568.6	8529	5.15151332121307	2	1
5	112780790	112780903	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112780790-112780903 - o | 5:112780790-112780903 - o	2	15	114	568.6	8529	5.15151332121307	2	1
5	112792446	112792529	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112792446-112792529 - o | 5:112792446-112792529 - o	2	15	84	568.6	8529	5.15151332121307	2	1
5	112801279	112801383	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112801279-112801383 - o | 5:112801279-112801383 - o	2	15	105	568.6	8529	5.15151332121307	2	1
5	112815495	112815593	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112815495-112815593 - o | 5:112815495-112815593 - o	2	15	99	568.6	8529	5.15151332121307	2	1
5	112818966	112819344	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112818966-112819344 - o | 5:112818966-112819344 - o	2	15	379	568.6	8529	5.15151332121307	2	1
5	112821896	112821991	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112821896-112821991 - o | 5:112821896-112821991 - o	2	15	96	568.6	8529	5.15151332121307	2	1
5	112827108	112827247	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	0	NA	5:112827108-112827247 - o | 5:112827108-112827247 - o	2	15	140	568.6	8529	5.15151332121307	2	1
5	112827929	112828006	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112827929-112828006 - o | 5:112827929-112828006 - o	2	15	78	568.6	8529	5.15151332121307	2	1
5	112828856	112828972	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112828856-112828972 - o | 5:112828856-112828972 - o	2	15	117	568.6	8529	5.15151332121307	2	1
