chr	start	stop	transcript_id	gene_name	gene_id	protein_id	transcript_biotype	gtf	exon_length	total_exon_length	exon_num	CCDS	status	avg_GTEx_TPM	appris	GTEx
1	243843125	243843170	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	46	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243695591	243695716	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	126	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243664772	243664883	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	112	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243645893	243646037	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	145	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243637611	243637742	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	132	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243615096	243615161	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	66	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243613671	243613739	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	69	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243572926	243573048	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	123	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243563720	243563848	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	129	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243552729	243552943	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	215	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243545510	243545597	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	88	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243512324	243512426	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	103	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243505252	243505334	ENST00000673466	AKT3	ENSG00000117020	ENSP00000500582	protein_coding	1	83	1437	13	CCDS31077.1	PRINCIPAL:1	NA	1	0
1	243843125	243843170	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	46	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243695591	243695716	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	126	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243664772	243664883	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	112	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243645893	243646037	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	145	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243637611	243637742	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	132	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243615096	243615161	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	66	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243613671	243613739	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	69	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243572926	243573048	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	123	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243563720	243563848	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	129	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243552729	243552943	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	215	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243545510	243545597	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	88	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243512324	243512426	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	103	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
1	243505252	243505334	ENST00000263826	AKT3	ENSG00000117020	ENSP00000263826	protein_coding	1	83	1437	13	CCDS31077.1	PRINCIPAL:1	10.77	1	1
5	112754891	112755025	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	135	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112766326	112766410	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	85	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112767189	112767390	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	202	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112775629	112775737	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	109	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112780790	112780903	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	114	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112792446	112792529	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	84	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112801279	112801383	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	105	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112815495	112815593	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	99	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112818966	112819344	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	379	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112821896	112821991	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	96	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112827108	112827247	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	140	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112827929	112828006	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	78	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112828856	112828972	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	117	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112834951	112835165	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	215	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112837553	112844123	ENST00000508376	APC	ENSG00000134982	ENSP00000427089	protein_coding	1	6571	8529	15	CCDS4107.1	PRINCIPAL:1	0.01	1	1
5	112754891	112755025	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	135	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112766326	112766410	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	85	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112767189	112767390	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	202	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112775629	112775737	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	109	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112780790	112780903	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	114	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112792446	112792529	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	84	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112801279	112801383	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	105	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112815495	112815593	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	99	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112818966	112819344	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	379	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112821896	112821991	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	96	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112827108	112827247	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	140	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112827929	112828006	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	78	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112828856	112828972	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	117	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112834951	112835165	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	215	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
5	112837553	112844123	ENST00000257430	APC	ENSG00000134982	ENSP00000257430	protein_coding	1	6571	8529	15	CCDS4107.1	PRINCIPAL:1	3.19	1	1
11	116837345	116837387	ENST00000375320	APOA1	ENSG00000118137	ENSP00000364469	protein_coding	1	43	801	3	CCDS8378.1	PRINCIPAL:1	17.62	1	1
11	116837001	116837157	ENST00000375320	APOA1	ENSG00000118137	ENSP00000364469	protein_coding	1	157	801	3	CCDS8378.1	PRINCIPAL:1	17.62	1	1
11	116835811	116836411	ENST00000375320	APOA1	ENSG00000118137	ENSP00000364469	protein_coding	1	601	801	3	CCDS8378.1	PRINCIPAL:1	17.62	1	1
11	116837345	116837387	ENST00000375323	APOA1	ENSG00000118137	ENSP00000364472	protein_coding	1	43	801	3	CCDS8378.1	PRINCIPAL:1	30.58	1	1
11	116837001	116837157	ENST00000375323	APOA1	ENSG00000118137	ENSP00000364472	protein_coding	1	157	801	3	CCDS8378.1	PRINCIPAL:1	30.58	1	1
11	116835811	116836411	ENST00000375323	APOA1	ENSG00000118137	ENSP00000364472	protein_coding	1	601	801	3	CCDS8378.1	PRINCIPAL:1	30.58	1	1
11	116837345	116837387	ENST00000359492	APOA1	ENSG00000118137	ENSP00000352471	protein_coding	1	43	801	3	CCDS8378.1	PRINCIPAL:1	406.29	1	1
11	116837001	116837157	ENST00000359492	APOA1	ENSG00000118137	ENSP00000352471	protein_coding	1	157	801	3	CCDS8378.1	PRINCIPAL:1	406.29	1	1
11	116835811	116836411	ENST00000359492	APOA1	ENSG00000118137	ENSP00000352471	protein_coding	1	601	801	3	CCDS8378.1	PRINCIPAL:1	406.29	1	1
11	116837345	116837387	ENST00000236850	APOA1	ENSG00000118137	ENSP00000236850	protein_coding	1	43	801	3	CCDS8378.1	PRINCIPAL:1	42.99	1	1
