chr	start	stop	transcript_id	gene_name	gene_id	pfam_exons	pfam_id	info	transcript_num	total_exons	exon_size	avg_exon_size	total_nucleotides	proportion_total	total_transcript_num	transcript_proportion
1	243843125	243843170	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243843125-243843170 - o | 1:243843125-243843170 - o	2	13	46	110.54	1437	0.840002104389406	2	1
1	243695591	243695716	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243695591-243695716 - o | 1:243695591-243695716 - o	2	13	126	110.54	1437	0.840002104389406	2	1
1	243664772	243664883	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243664772-243664883 - o | 1:243664772-243664883 - o	2	13	112	110.54	1437	0.840002104389406	2	1
1	243645893	243646037	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00169	1:243645893-243646037 - o | 1:243645893-243646037 - o	2	13	145	110.54	1437	0.840002104389406	2	1
1	243637611	243637742	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243637611-243637742 - o | 1:243637611-243637742 - o	2	13	132	110.54	1437	0.840002104389406	2	1
1	243615096	243615161	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243615096-243615161 - o | 1:243615096-243615161 - o	2	13	66	110.54	1437	0.840002104389406	2	1
1	243613671	243613739	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243613671-243613739 - o | 1:243613671-243613739 - o	2	13	69	110.54	1437	0.840002104389406	2	1
1	243572926	243573048	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243572926-243573048 - o | 1:243572926-243573048 - o	2	13	123	110.54	1437	0.840002104389406	2	1
1	243563720	243563848	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243563720-243563848 - o | 1:243563720-243563848 - o	2	13	129	110.54	1437	0.840002104389406	2	1
1	243552729	243552943	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243552729-243552943 - o | 1:243552729-243552943 - o	2	13	215	110.54	1437	0.840002104389406	2	1
1	243545510	243545597	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00069	1:243545510-243545597 - o | 1:243545510-243545597 - o	2	13	88	110.54	1437	0.840002104389406	2	1
1	243512324	243512426	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00433	1:243512324-243512426 - o | 1:243512324-243512426 - o	2	13	103	110.54	1437	0.840002104389406	2	1
1	243505252	243505334	ENST00000673466 | ENST00000263826	AKT3	ENSG00000117020	1	PF00433	1:243505252-243505334 - o | 1:243505252-243505334 - o	2	13	83	110.54	1437	0.840002104389406	2	1
5	112754891	112755025	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF16689	5:112754891-112755025 - o | 5:112754891-112755025 - o	2	15	135	568.6	8529	4.98564923335925	2	1
5	112766326	112766410	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF16689	5:112766326-112766410 - o | 5:112766326-112766410 - o	2	15	85	568.6	8529	4.98564923335925	2	1
5	112767189	112767390	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112767189-112767390 - o | 5:112767189-112767390 - o	2	15	202	568.6	8529	4.98564923335925	2	1
5	112775629	112775737	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112775629-112775737 - o | 5:112775629-112775737 - o	2	15	109	568.6	8529	4.98564923335925	2	1
5	112780790	112780903	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF11414	5:112780790-112780903 - o | 5:112780790-112780903 - o	2	15	114	568.6	8529	4.98564923335925	2	1
5	112818966	112819344	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF18797	5:112818966-112819344 - o | 5:112818966-112819344 - o	2	15	379	568.6	8529	4.98564923335925	2	1
5	112821896	112821991	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF18797	5:112821896-112821991 - o | 5:112821896-112821991 - o	2	15	96	568.6	8529	4.98564923335925	2	1
5	112827108	112827247	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112827108-112827247 - o | 5:112827108-112827247 - o	2	15	140	568.6	8529	4.98564923335925	2	1
5	112827929	112828006	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112827929-112828006 - o | 5:112827929-112828006 - o	2	15	78	568.6	8529	4.98564923335925	2	1
5	112828856	112828972	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112828856-112828972 - o | 5:112828856-112828972 - o	2	15	117	568.6	8529	4.98564923335925	2	1
5	112834951	112835165	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	1	PF00514	5:112834951-112835165 - o | 5:112834951-112835165 - o	2	15	215	568.6	8529	4.98564923335925	2	1
5	112837553	112844123	ENST00000508376 | ENST00000257430	APC	ENSG00000134982	12	PF16636|PF16635|PF16629|PF16634|PF05924|PF05972|PF05956|PF16633|PF05937|PF16630|PF00514|PF05923	5:112837553-112844123 - o | 5:112837553-112844123 - o	2	15	6571	568.6	8529	4.98564923335925	2	1
5	112792446	112792529	ENST00000257430	APC	ENSG00000134982	0	NA	5:112792446-112792529	1	15	84	568.6	8529	4.98564923335925	2	0.5
5	112801279	112801383	ENST00000257430	APC	ENSG00000134982	0	NA	5:112801279-112801383	1	15	105	568.6	8529	4.98564923335925	2	0.5
5	112815495	112815593	ENST00000257430	APC	ENSG00000134982	0	NA	5:112815495-112815593	1	15	99	568.6	8529	4.98564923335925	2	0.5
11	116835811	116836411	ENST00000375320 | ENST00000375323 | ENST00000359492 | ENST00000236850	APOA1	ENSG00000118137	1	PF01442	11:116835811-116836411 - o | 11:116835811-116836411 - o | 11:116835811-116836411 - o | 11:116835811-116836411 - o	4	3	601	267	801	0.46822664273898	4	1
11	116837345	116837387	ENST00000375323 | ENST00000359492 | ENST00000236850	APOA1	ENSG00000118137	0	NA	11:116837345-116837387 | 11:116837345-116837387 - o | 11:116837345-116837387 - o	3	3	43	267	801	0.46822664273898	4	0.75
11	116837001	116837157	ENST00000375323 | ENST00000359492 | ENST00000236850	APOA1	ENSG00000118137	0	NA	11:116837001-116837157 | 11:116837001-116837157 - o | 11:116837001-116837157 - o	3	3	157	267	801	0.46822664273898	4	0.75
X	67545147	67546762	ENST00000374690	AR	ENSG00000169083	1	PF02166	X:67545147-67546762 - o	1	8	1616	345	2760	1.61336521093581	1	1
X	67643256	67643407	ENST00000374690	AR	ENSG00000169083	1	PF00105	X:67643256-67643407 - o	1	8	152	345	2760	1.61336521093581	1	1
X	67686010	67686126	ENST00000374690	AR	ENSG00000169083	1	PF00105	X:67686010-67686126 - o	1	8	117	345	2760	1.61336521093581	1	1
X	67711402	67711689	ENST00000374690	AR	ENSG00000169083	1	PF00104	X:67711402-67711689 - o	1	8	288	345	2760	1.61336521093581	1	1
X	67717478	67717622	ENST00000374690	AR	ENSG00000169083	1	PF00104	X:67717478-67717622 - o	1	8	145	345	2760	1.61336521093581	1	1
X	67721833	67721963	ENST00000374690	AR	ENSG00000169083	1	PF00104	X:67721833-67721963 - o	1	8	131	345	2760	1.61336521093581	1	1
X	67722827	67722984	ENST00000374690	AR	ENSG00000169083	1	PF00104	X:67722827-67722984 - o	1	8	158	345	2760	1.61336521093581	1	1
X	67723686	67723838	ENST00000374690	AR	ENSG00000169083	1	PF00104	X:67723686-67723838 - o	1	8	153	345	2760	1.61336521093581	1	1
11	108227625	108227696	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF11640	11:108227625-108227696 - o | 11:108227625-108227696 - o | 11:108227625-108227696 - o	3	62	72	147.87	9168	5.35917835284765	3	1
11	108227776	108227888	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF11640	11:108227776-108227888 - o | 11:108227776-108227888 - o | 11:108227776-108227888 - o	3	62	113	147.87	9168	5.35917835284765	3	1
11	108229178	108229323	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF11640	11:108229178-108229323 - o | 11:108229178-108229323 - o | 11:108229178-108229323 - o	3	62	146	147.87	9168	5.35917835284765	3	1
11	108235670	108235834	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF11640	11:108235670-108235834 - o | 11:108235670-108235834 - o | 11:108235670-108235834 - o	3	62	165	147.87	9168	5.35917835284765	3	1
11	108317373	108317521	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108317373-108317521 - o | 11:108317373-108317521 - o | 11:108317373-108317521 - o	3	62	149	147.87	9168	5.35917835284765	3	1
11	108319954	108320058	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108319954-108320058 - o | 11:108319954-108320058 - o | 11:108319954-108320058 - o	3	62	105	147.87	9168	5.35917835284765	3	1
11	108321301	108321420	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108321301-108321420 - o | 11:108321301-108321420 - o | 11:108321301-108321420 - o	3	62	120	147.87	9168	5.35917835284765	3	1
11	108325310	108325544	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108325310-108325544 - o | 11:108325310-108325544 - o | 11:108325310-108325544 - o	3	62	235	147.87	9168	5.35917835284765	3	1
11	108326058	108326225	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108326058-108326225 - o | 11:108326058-108326225 - o | 11:108326058-108326225 - o	3	62	168	147.87	9168	5.35917835284765	3	1
11	108327645	108327758	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108327645-108327758 - o | 11:108327645-108327758 - o | 11:108327645-108327758 - o	3	62	114	147.87	9168	5.35917835284765	3	1
11	108329021	108329238	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108329021-108329238 - o | 11:108329021-108329238 - o | 11:108329021-108329238 - o	3	62	218	147.87	9168	5.35917835284765	3	1
11	108330214	108330421	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02259	11:108330214-108330421 - o | 11:108330214-108330421 - o | 11:108330214-108330421 - o	3	62	208	147.87	9168	5.35917835284765	3	1
11	108334969	108335109	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108334969-108335109 - o | 11:108334969-108335109 - o | 11:108334969-108335109 - o	3	62	141	147.87	9168	5.35917835284765	3	1
11	108335845	108335961	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108335845-108335961 - o | 11:108335845-108335961 - o | 11:108335845-108335961 - o	3	62	117	147.87	9168	5.35917835284765	3	1
11	108343222	108343371	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108343222-108343371 - o | 11:108343222-108343371 - o | 11:108343222-108343371 - o	3	62	150	147.87	9168	5.35917835284765	3	1
11	108345743	108345908	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108345743-108345908 - o | 11:108345743-108345908 - o | 11:108345743-108345908 - o	3	62	166	147.87	9168	5.35917835284765	3	1
11	108347279	108347365	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108347279-108347365 - o | 11:108347279-108347365 - o | 11:108347279-108347365 - o	3	62	87	147.87	9168	5.35917835284765	3	1
11	108353766	108353880	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108353766-108353880 - o | 11:108353766-108353880 - o | 11:108353766-108353880 - o	3	62	115	147.87	9168	5.35917835284765	3	1
11	108354811	108354874	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108354811-108354874 - o | 11:108354811-108354874 - o | 11:108354811-108354874 - o	3	62	64	147.87	9168	5.35917835284765	3	1
11	108365082	108365218	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF00454	11:108365082-108365218 - o | 11:108365082-108365218 - o | 11:108365082-108365218 - o	3	62	137	147.87	9168	5.35917835284765	3	1
11	108365325	108365505	ENST00000675843 | ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	1	PF02260	11:108365325-108365505 - o | 11:108365325-108365505 - o | 11:108365325-108365505 - o	3	62	181	147.87	9168	5.35917835284765	3	1
11	108243953	108244118	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108243953-108244118 | 11:108243953-108244118 - o	2	62	166	147.87	9168	5.35917835284765	3	0.666666666666667
11	108244788	108245026	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108244788-108245026 | 11:108244788-108245026 - o	2	62	239	147.87	9168	5.35917835284765	3	0.666666666666667
11	108246964	108247127	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108246964-108247127 | 11:108246964-108247127 - o	2	62	164	147.87	9168	5.35917835284765	3	0.666666666666667
11	108248933	108249102	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108248933-108249102 | 11:108248933-108249102 - o	2	62	170	147.87	9168	5.35917835284765	3	0.666666666666667
11	108250701	108251072	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108250701-108251072 | 11:108250701-108251072 - o	2	62	372	147.87	9168	5.35917835284765	3	0.666666666666667
11	108251837	108252031	ENST00000452508 | ENST00000278616	ATM	ENSG00000149311	0	NA	11:108251837-108252031 | 11:108251837-108252031 - o	2	62	195	147.87	9168	5.35917835284765	3	0.666666666666667
