gene_name	gene_id	transcript_id	protein_id	exon_number
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	1
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	2
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	3
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	4
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	5
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	6
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	7
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	8
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	9
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	10
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	11
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	12
AKT3	ENSG00000117020	ENST00000336199	ENSP00000336943	13
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	2
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	3
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	4
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	5
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	6
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	7
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	8
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	9
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	10
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	11
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	12
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	13
AKT3	ENSG00000117020	ENST00000366540	ENSP00000355498	14
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	1
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	2
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	3
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	4
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	5
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	6
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	7
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	8
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	9
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	10
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	11
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	12
AKT3	ENSG00000117020	ENST00000263826	ENSP00000263826	13
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	2
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	3
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	4
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	5
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	6
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	7
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	8
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	9
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	10
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	11
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	12
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	13
AKT3	ENSG00000117020	ENST00000673466	ENSP00000500582	14
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	1
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	2
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	3
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	4
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	5
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	6
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	7
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	8
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	9
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	10
AKT3	ENSG00000117020	ENST00000672460	ENSP00000499842	11
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	3
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	4
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	5
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	6
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	7
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	8
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	9
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	10
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	11
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	12
AKT3	ENSG00000117020	ENST00000672578	ENSP00000500597	13
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	2
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	3
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	4
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	5
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	6
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	7
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	8
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	9
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	10
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	11
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	12
AKT3	ENSG00000117020	ENST00000366539	ENSP00000355497	13
AKT3	ENSG00000117020	ENST00000552631	ENSP00000447820	2
AKT3	ENSG00000117020	ENST00000552631	ENSP00000447820	3
AKT3	ENSG00000117020	ENST00000552631	ENSP00000447820	4
AKT3	ENSG00000117020	ENST00000552631	ENSP00000447820	5
AKT3	ENSG00000117020	ENST00000672442	ENSP00000500134	2
AKT3	ENSG00000117020	ENST00000672442	ENSP00000500134	3
AKT3	ENSG00000117020	ENST00000672442	ENSP00000500134	4
AKT3	ENSG00000117020	ENST00000491219	ENSP00000499914	1
AKT3	ENSG00000117020	ENST00000491219	ENSP00000499914	2
AKT3	ENSG00000117020	ENST00000491219	ENSP00000499914	3
APC	ENSG00000134982	ENST00000509732	ENSP00000426541	2
APC	ENSG00000134982	ENST00000509732	ENSP00000426541	3
APC	ENSG00000134982	ENST00000509732	ENSP00000426541	4
APC	ENSG00000134982	ENST00000505350	ENSP00000481752	1
APC	ENSG00000134982	ENST00000505350	ENSP00000481752	2
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	1
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	2
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	3
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	4
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	5
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	6
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	7
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	8
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	9
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	10
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	11
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	12
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	13
APC	ENSG00000134982	ENST00000507379	ENSP00000423224	14
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	2
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	3
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	4
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	5
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	6
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	7
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	8
APC	ENSG00000134982	ENST00000508624	ENSP00000424265	9
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	2
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	3
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	4
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	5
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	6
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	7
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	8
APC	ENSG00000134982	ENST00000257430	ENSP00000257430	9
