chr	start	stop	transcript_id	info	transcript_num	gene_id	gene_name	total_exons	exon_size	total_space	avg_exon_size	total_nucleotides	proportion_total
16	2135475	2135689	ENST00000423118 | ENST00000262304	16:2135475-2135689 - o | 16:2135475-2135689 - o	2	ENSG00000008710	PKD1	46	215	12906	280.57	12906	6.813574355
16	2119307	2119378	ENST00000423118 | ENST00000262304	16:2119307-2119378 - o | 16:2119307-2119378 - o	2	ENSG00000008710	PKD1	46	72	12906	280.57	12906	6.813574355
16	2119114	2119185	ENST00000423118 | ENST00000262304	16:2119114-2119185 - o | 16:2119114-2119185 - o	2	ENSG00000008710	PKD1	46	72	12906	280.57	12906	6.813574355
16	2118676	2118845	ENST00000423118 | ENST00000262304	16:2118676-2118845 - o | 16:2118676-2118845 - o	2	ENSG00000008710	PKD1	46	170	12906	280.57	12906	6.813574355
16	2117791	2118462	ENST00000423118 | ENST00000262304	16:2117791-2118462 - o | 16:2117791-2118462 - o	2	ENSG00000008710	PKD1	46	672	12906	280.57	12906	6.813574355
16	2117489	2117672	ENST00000423118 | ENST00000262304	16:2117489-2117672 - o | 16:2117489-2117672 - o	2	ENSG00000008710	PKD1	46	184	12906	280.57	12906	6.813574355
16	2116833	2117053	ENST00000423118 | ENST00000262304	16:2116833-2117053 - o | 16:2116833-2117053 - o	2	ENSG00000008710	PKD1	46	221	12906	280.57	12906	6.813574355
16	2116529	2116644	ENST00000423118 | ENST00000262304	16:2116529-2116644 - o | 16:2116529-2116644 - o	2	ENSG00000008710	PKD1	46	116	12906	280.57	12906	6.813574355
16	2115992	2116118	ENST00000423118 | ENST00000262304	16:2115992-2116118 - o | 16:2115992-2116118 - o	2	ENSG00000008710	PKD1	46	127	12906	280.57	12906	6.813574355
16	2115378	2115625	ENST00000423118 | ENST00000262304	16:2115378-2115625 - o | 16:2115378-2115625 - o	2	ENSG00000008710	PKD1	46	248	12906	280.57	12906	6.813574355
16	2114170	2114925	ENST00000423118 | ENST00000262304	16:2114170-2114925 - o | 16:2114170-2114925 - o	2	ENSG00000008710	PKD1	46	756	12906	280.57	12906	6.813574355
16	2113161	2113292	ENST00000423118 | ENST00000262304	16:2113161-2113292 - o | 16:2113161-2113292 - o	2	ENSG00000008710	PKD1	46	132	12906	280.57	12906	6.813574355
16	2112788	2112963	ENST00000423118 | ENST00000262304	16:2112788-2112963 - o | 16:2112788-2112963 - o	2	ENSG00000008710	PKD1	46	176	12906	280.57	12906	6.813574355
16	2112340	2112473	ENST00000423118 | ENST00000262304	16:2112340-2112473 - o | 16:2112340-2112473 - o	2	ENSG00000008710	PKD1	46	134	12906	280.57	12906	6.813574355
16	2108252	2111871	ENST00000423118 | ENST00000262304	16:2108252-2111871 - o | 16:2108252-2111871 - o	2	ENSG00000008710	PKD1	46	3620	12906	280.57	12906	6.813574355
16	2107883	2108032	ENST00000423118 | ENST00000262304	16:2107883-2108032 - o | 16:2107883-2108032 - o	2	ENSG00000008710	PKD1	46	150	12906	280.57	12906	6.813574355
16	2106805	2106948	ENST00000423118 | ENST00000262304	16:2106805-2106948 - o | 16:2106805-2106948 - o	2	ENSG00000008710	PKD1	46	144	12906	280.57	12906	6.813574355
16	2106398	2106677	ENST00000423118 | ENST00000262304	16:2106398-2106677 - o | 16:2106398-2106677 - o	2	ENSG00000008710	PKD1	46	280	12906	280.57	12906	6.813574355
16	2106091	2106304	ENST00000423118 | ENST00000262304	16:2106091-2106304 - o | 16:2106091-2106304 - o	2	ENSG00000008710	PKD1	46	214	12906	280.57	12906	6.813574355
16	2105865	2106024	ENST00000423118 | ENST00000262304	16:2105865-2106024 - o | 16:2105865-2106024 - o	2	ENSG00000008710	PKD1	46	160	12906	280.57	12906	6.813574355
16	2105322	2105474	ENST00000423118 | ENST00000262304	16:2105322-2105474 - o | 16:2105322-2105474 - o	2	ENSG00000008710	PKD1	46	153	12906	280.57	12906	6.813574355
16	2104498	2104642	ENST00000423118 | ENST00000262304	16:2104498-2104642 - o | 16:2104498-2104642 - o	2	ENSG00000008710	PKD1	46	145	12906	280.57	12906	6.813574355
16	2103266	2103895	ENST00000423118 | ENST00000262304	16:2103266-2103895 - o | 16:2103266-2103895 - o	2	ENSG00000008710	PKD1	46	630	12906	280.57	12906	6.813574355
16	2102814	2102970	ENST00000423118 | ENST00000262304	16:2102814-2102970 - o | 16:2102814-2102970 - o	2	ENSG00000008710	PKD1	46	157	12906	280.57	12906	6.813574355
16	2102381	2102633	ENST00000423118 | ENST00000262304	16:2102381-2102633 - o | 16:2102381-2102633 - o	2	ENSG00000008710	PKD1	46	253	12906	280.57	12906	6.813574355
